Roles	Users	OID	OptimisticLockField
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{E762CCFB-565F-4D0E-815D-1DD350491FE7}	{50BAC0EB-94F7-4E48-9D2C-7669D4CAF39C}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B6F8E751-6FB1-42F2-84A5-60A1DD462321}	{42C78B21-DFE5-45BC-8C98-76709DD70445}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{5395CEEA-6C66-4217-A8BE-64B25B381893}	{B8F30B61-C0E4-4B1F-AF1F-76F6220C9FF2}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{BEC50499-0A91-43C0-82AC-F9049C8DDFE0}	{AE313403-AEA1-4478-A3B2-786B82B32D99}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{D81D3A60-092A-4EA2-8E3F-3ED816F5CFE1}	{81D1C2D3-F9ED-41C9-B2C4-78969EA2C0C1}	0
{DCB30469-012C-474D-B572-138ADA82C9A4}	{09638F2F-461F-478B-B79C-3283A955D93B}	{132B3664-78D3-43AE-A058-7AD4956BA293}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{228B7D58-A9C6-4EC7-91A8-74C677E83399}	{3A5B5EC7-E0F8-4BC8-8DEB-7B6B237AF448}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{8AC136CC-953F-426F-9FF7-68CE3B127A1F}	{EC929B4E-7303-4EA8-9C32-7B85C7E295F6}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CC434C96-037A-42E7-8D79-5DC949024F6D}	{E52C05C2-B8DD-476F-8A56-7C17ABE74C1C}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{F70F6CE9-D433-4714-A939-99C71E8F4FD9}	{79ECCA91-DE90-4F9A-9ACB-7C2F67C71D25}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{648ADCEF-6766-439D-83BC-F293D4F06785}	{A40F471E-A62A-4EA4-B1CC-7F87E5BC5B64}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{C8EB2349-51C3-4136-A2CA-D83ACDE74A4D}	{3DC9CA47-8125-44E8-BFD9-8009554C4D06}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B04F6E1A-A891-4B07-B978-B5CE9CCEC72D}	{0BEF50CD-2AB1-4ED8-B9CA-81BA0088087B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{C35EF477-ABB3-4CA4-A6D3-FF2C8E281C19}	{F850272D-12EC-423A-80CE-83B9201495CA}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1267092C-BDA9-46EE-A697-5799342844F6}	{32058F09-B146-4E1D-9234-8422D20986ED}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{86BEF001-7A01-43E1-8764-96E6F8009ECF}	{30D64BDA-AF7F-48A3-A541-855C78594D2A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{8B1AC8B6-DF69-4CC2-AEA1-573A5F3E47D9}	{21AD27BF-DDF0-450D-8154-85A2C2B0D6E3}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1D1F9D40-D9C4-4ED4-87CC-25F4690A1775}	{43445B12-B845-4848-A55E-867886859B60}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{7A102E05-C8E4-471A-8927-4E95A6DD5EE1}	{8EF683F7-3FC6-4181-914F-89733D66B919}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{E7A22430-D95B-4086-8C04-81B2AE52BF5B}	{F4C446FC-B0A7-4BDC-B700-89F659376181}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{06373CC2-6244-46B6-B4A7-B62B127CEB38}	{4A2BE96B-3673-46CD-A3C0-8A31AEC411C3}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1852EA52-B9D5-40B1-9D1B-148FC7C2A83F}	{5CF756FD-702A-454E-A82D-8A51AFAD4C82}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{559132AF-935C-495D-9603-B02CD1AFE770}	{97A902E5-6090-4857-A652-8A7038CCE713}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{A44D5294-106A-4D73-87DC-296B80CE3880}	{0A39EA39-9DC0-402A-85EC-8ABFC43C6733}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{BA0C3A3A-2C2B-4ECB-877E-6F0FC5F59240}	{37A63810-4650-4B13-B78C-8FBAF24D7AE6}	0
